分类,规格/功能,参数,,说明
产品信息,产品SKU,高端版,标准版,
,产品成本,待补充,,
,产品定价,待补充,,
,产品图片,待补充,,
基本参数,高度范围,80-140cm,,"1. 高度不宜过高，避免产生压迫感，避免容易倒下伤害到人。
2. 高度不宜过矮，满足用户坐着（高频）和站着的交互感（距离）舒适。
3. 中国60岁以上男性平均身高168cm，60岁以上女性平均身高154cm，桌子一般高度75-78cm，椅子一般高度42-45cm，沙发一般高度36-42cm。"
,最大宽度,≤60cm,,"1. 机器人最大（投影地面）长度或宽度不超过60cm。
2. 避免由于宽度过大，难以通过门、通道、家具角落。其中，家庭入户门及房间门净宽一般≥90cm，卫生间门通行净宽一般≥70cm。
3. 避免在家庭中占地面积过大（特别是充电时）。
4. 如存在活动部件（屏幕、药箱、活动装饰件等），活动时不计入最大投影宽度。"
,机器人净量,≤45kg,,"1. 考虑到使用和搬动安全。
2. 市面上同类机器人净重大都≤40kg。"
,充电站净量,≤3kg,,稳固，长时间使用可靠。
,整箱重量,≤50kg,,"1. 家具搬运行业规范：对于重型家具，建议单人搬运物品小于50kg。
2. 考虑运输、搬运、上门安装的便利性。
3. 包含机器人、充电站、适配器、配件、说明书、说明书、包装的重量。"
,噪声（白天工作）,≤50dB,,"1. 常见家电噪声≤50dB (A)，比如冰箱、空调。
2. 根据《噪声环境质量标准》，疗养区白天环境噪声限值为50dB，居民住宅区白天环境噪声限值为55dB。
3. 根据《家用和类似用途电器噪声限值》，噪声限值最小的电器和噪声为：加湿器噪声≤45dB (A)。
4. 指距离机器人1m的噪声值。
5. 包括由于机器人行走、头部运动、药箱运动、内部器件运行的噪声。"
,噪声（白天待机或充电）,≤40dB,,"1. 指距离机器人1m的噪声值。
2. 由于机器人内部器件运行或者充电造成的噪声。"
,噪声（夜间）,≤40dB,,《噪声环境质量标准》：疗养区夜间环境噪声限值为40dB，居民住宅区夜间环境噪声限值为45dB。
,防护等级（机器人）,IPX2,,满足生活防水要求，包括防泼溅、防淋雨（阳台）。
,防护等级（充电站）,IPX2,,满足生活防水要求，如防泼溅。
,防护等级（电源适配器）,IPX7,,应对地面积水的意外情况（电源适配器有可能被用户放在地上），保护家居用电安全。
,保修期,2年,,"1. 大部分品牌（如作为科技、如身机器人、江智机器人）免费保修期为1年，起算日多为签收次日，覆盖非人为质量故障。
2. 考虑到高端定位，且长期陪伴老人，保修期至少2年。"
环境要求,工作温度,0-50℃,,"1. 以家庭的自然温度为准。
2. 根据《养老机器人通用技术条件》，工作温度要求-10℃-40℃。"
,充电温度,0-50℃,,锂电池的安全充电区间，同时避免高低温导致充电失效和电池寿命下降。
,储存温度,-20-70℃,,"1. 考虑产品从生产、仓储、长途运输到用户居家闲置储存的全流程极端温度环境。
2. 考虑消费级产品核心器件（锂电池、显示屏、主控芯片、传感器）的常规适应温度范围。"
,工作湿度,0-95%,,要求无凝露。
整机性能,自由度,≥4,,"1. 底盘*2：平面行走。
2. 头部*2：显示屏水平转动，俯仰运动。"
,基础算力,待定,,研发确定
,升级算力,待定,,研发确定
,定位精度,≤2cm,,研发评估确定
运动性能,行走速度范围,0-0.6m/s,,"1. 考虑到使用对象安全以及空间面积、障碍物数量等因素，家庭机器人速度比户外和商用机器人速度明显要小。
2. 家庭扫地机器人常规行走速度0.3-0.6m/s，家庭陪伴类机器人常规行走速度0.1-0.3m/s。
3. 行走速度可调，适应不同的使用工况：
3.1 紧急安全情况下行走速度：0.5m/s。
3.2 常规行走速度：0.3m/s。
3.3 靠近用户、通过狭窄通道、越障、过坎、夜间（入睡以后）情况下行走速度：0.1m/s。
4. 满足跟随模式下与人保持基本同步（无级调速）。"
,转弯速度范围,0-36°/s,,"1. 转速可调，适应不同的使用工况，如：
1.1 常规转弯速度：36°/s。
1.2 靠近用户、通过狭窄通道、越障、过坎、夜间（入睡以后）情况下转弯速度：12°/s。
2. 避免由于转弯过快撞到人，或者整体倾倒（特别是地面有低矮障碍物的情况）。
3. 包含原地转向和行走过程中转弯。"
,最大越障高度,2.5cm,,"1. 能通过家里的门槛、地毯、电源线等。
2. 根据《无障碍设计规范》（GB50763-2012），门槛高度及门内外地面高差不应大于15mm。
3. 根据《住宅项目规范》（GB 55038-2025），厨房、卫生间、封闭阳台与相邻空间地面的高差不应大于15mm。
4. 参考友商参数，如云迹UP、云迹格格、水滴。"
,最大越缝宽度,4cm,,"1. 主要针对瓷砖缝隙、地板缝隙、推拉门地面滑轨的通行。
2. 参考友商参数，如云迹UP、云迹格格、水滴。"
